gid,objectid,statefp,placefp,geoid,name,namelsad,geonum,x,y,geom
102,102,08,10105,0810105,Buena Vista,Buena Vista town,10810105,-106.139,38.8318,0101000020AD100000AFF68E8CE4885AC020477C077A6A4340
103,103,08,60600,0860600,Poncha Springs,Poncha Springs town,10860600,-106.096,38.5131,0101000020AD100000D6C3D07929865AC08AAF815BAD414340
104,104,08,42110,0842110,La Junta,La Junta city,10842110,-103.547,37.9796,0101000020AD100000C58A68BD03E359C04EF63BF364FD4240
105,105,08,25115,0825115,Estes Park,Estes Park town,10825115,-105.521,40.3703,0101000020AD100000B29E04A05F615AC06B42A68A652F4440
106,106,08,83230,0883230,Wellington,Wellington town,10883230,-105.006,40.6999,0101000020AD10000047F545C65F405AC0AD65DA7896594440
107,107,08,48115,0848115,Mancos,Mancos town,10848115,-108.294,37.3466,0101000020AD100000FC1EA28ACE125BC0176FD2485DAC4240
108,108,08,45955,0845955,Lone Tree,Lone Tree city,10845955,-104.871,39.5307,0101000020AD10000031B4810BBF375AC0D9D5B67AEFC34340
109,109,08,12415,0812415,Castle Rock,Castle Rock town,10812415,-104.853,39.3761,0101000020AD1000001586E4709F365AC0137133F223B04340
110,110,08,18640,0818640,Crook,Crook town,10818640,-102.801,40.8588,0101000020AD100000A7CB3C014AB359C008B3A198EB6D4440
111,111,08,55980,0855980,Orchard City,Orchard City town,10855980,-107.971,38.814,0101000020AD100000C98DF7C421FE5AC00FF6A6CA30684340
112,112,08,50040,0850040,Merino,Merino town,10850040,-103.354,40.4848,0101000020AD100000A2A048A5A1D659C0FE302CC20E3E4440
113,113,08,07571,0807571,Bonanza,Bonanza town,10807571,-106.142,38.2966,0101000020AD1000009D0B997014895AC01ABAA23AF7254340
114,114,08,18420,0818420,Crestone,Crestone town,10818420,-105.696,37.9945,0101000020AD100000CCB6A8BA8F6C5AC009F5A3AE4BFF4240
115,115,08,51250,0851250,Moffat,Moffat town,10851250,-105.905,38.002,0101000020AD100000C0EA9BFBF2795AC0C346137341004340
116,116,08,67005,0867005,Saguache,Saguache town,10867005,-106.141,38.0862,0101000020AD100000B71DAE1C04895AC0973BD9260A0B4340
117,117,08,24620,0824620,Empire,Empire town,10824620,-105.683,39.7594,0101000020AD1000009A993A38B46B5AC0301234A835E14340
118,118,08,29735,0829735,Georgetown,Georgetown town,10829735,-105.694,39.7175,0101000020AD1000006295AA24716C5AC065FB9A27D6DB4340
119,119,08,70360,0870360,Silver Plume,Silver Plume town,10870360,-105.726,39.6957,0101000020AD100000B1D11A157E6E5AC04626A1660CD94340
120,120,08,12635,0812635,Cedaredge,Cedaredge town,10812635,-107.925,38.8941,0101000020AD100000DE859C5C3BFB5AC0BDB07F2073724340
121,121,08,17925,0817925,Crawford,Crawford town,10817925,-107.61,38.7052,0101000020AD100000DD86233C0BE75AC0DFBA2E72435A4340
122,122,08,57300,0857300,Paonia,Paonia town,10857300,-107.591,38.8698,0101000020AD1000003747C909DAE55AC063639060566F4340
123,123,08,15605,0815605,Collbran,Collbran town,10815605,-107.964,39.24,0101000020AD1000004506BF72B1FD5AC0C2EBF2D7B89E4340
124,124,08,28745,0828745,Fruita,Fruita city,10828745,-108.728,39.1539,0101000020AD10000001FF529C9D2E5BC0A4A85782B3934340
125,125,08,64200,0864200,Ridgway,Ridgway town,10864200,-107.753,38.1591,0101000020AD100000EA8431F432F05AC0CDE5D6555E144340
126,126,08,61315,0861315,Pritchett,Pritchett town,10861315,-102.859,37.37,0101000020AD100000AECCDCBEF5B659C0F8126D755CAF4240
127,127,08,82460,0882460,Walsh,Walsh town,10882460,-102.28,37.3861,0101000020AD1000000B1D346CEA9159C0AFD428F76BB14240
128,128,08,56970,0856970,Palisade,Palisade town,10856970,-108.358,39.1077,0101000020AD1000005C2AEFACF0165BC07D6B452FCA8D4340
129,129,08,52075,0852075,Morrison,Morrison town,10852075,-105.194,39.6424,0101000020AD100000AB5F8B706F4C5AC0F01A89F13AD24340
130,130,08,05265,0805265,Bayfield,Bayfield town,10805265,-107.595,37.2352,0101000020AD10000047BFAF6D11E65AC0A310A5A11C9E4240
131,131,08,38535,0838535,Ignacio,Ignacio town,10838535,-107.637,37.1177,0101000020AD1000007A301026CCE85AC006AB90C2118F4240
132,132,08,70580,0870580,Silverton,Silverton town,10870580,-107.665,37.8111,0101000020AD10000084D2238189EA5AC00C3B4AE1D1E74240
133,133,08,46355,0846355,Louisville,Louisville city,10846355,-105.144,39.9709,0101000020AD1000007299693639495AC0FE54252345FC4340
134,134,08,31605,0831605,Granby,Granby town,10831605,-105.92,40.0657,0101000020AD1000003DE0E05ED97A5AC03263AA8167084440
135,135,08,68105,0868105,San Luis,San Luis town,10868105,-105.422,37.2023,0101000020AD100000FEB6F9B7095B5AC0DA010453E6994240
136,136,08,39965,0839965,Julesburg,Julesburg town,10839965,-102.263,40.985,0101000020AD100000F765E51DCE9059C0E9783A1C147E4440
137,137,08,56475,0856475,Ovid,Ovid town,10856475,-102.388,40.9606,0101000020AD100000641979C2DA9859C0938DDBC1F37A4440
138,138,08,68930,0868930,Sedgwick,Sedgwick town,10868930,-102.526,40.9351,0101000020AD100000EE6BACA3A4A159C04FEF7451B0774440
139,139,08,23135,0823135,Edgewater,Edgewater city,10823135,-105.063,39.7508,0101000020AD10000093843DE401445AC01F193BDB1AE04340
140,140,08,52350,0852350,Mountain View,Mountain View town,10852350,-105.057,39.7748,0101000020AD10000018C30827A1435AC05255A6DD2BE34340
141,141,08,40185,0840185,Keenesburg,Keenesburg town,10840185,-104.508,40.1081,0101000020AD100000897353737F205AC073B2E2D0D60D4440
142,142,08,55045,0855045,Nunn,Nunn town,10855045,-104.79,40.7119,0101000020AD100000B1DFD91D8C325AC022CA8223205B4440
143,143,08,56860,0856860,Pagosa Springs,Pagosa Springs town,10856860,-107.03,37.2675,0101000020AD100000C6A1167BEDC15AC01B81BBE83CA24240
144,144,08,07850,0807850,Boulder,Boulder city,10807850,-105.251,40.0274,0101000020AD100000F2EA9DAC15505AC0CB74F60682034440
145,145,08,39195,0839195,Jamestown,Jamestown town,10839195,-105.392,40.1179,0101000020AD1000007514DD0510595AC0453637DB160F4440
146,146,08,47070,0847070,Lyons,Lyons town,10847070,-105.269,40.2232,0101000020AD1000004AC538313C515AC0BE56E8F4901C4440
147,147,08,53175,0853175,Nederland,Nederland town,10853175,-105.507,39.9633,0101000020AD10000007BD1DDD75605AC001DB18DA4DFB4340
148,148,08,12910,0812910,Central City,Central City city,10812910,-105.515,39.7964,0101000020AD1000004CB5216EF6605AC021CAF88DF0E54340
149,149,08,38370,0838370,Idaho Springs,Idaho Springs city,10838370,-105.5,39.7442,0101000020AD1000002E2B840CF85F5AC0371BE68D43DF4340
150,150,08,07795,0807795,Boone,Boone town,10807795,-104.258,38.2493,0101000020AD100000F2A90E5381105AC04E4528FAE81F4340
151,151,08,01530,0801530,Alma,Alma town,10801530,-106.066,39.2853,0101000020AD1000006F6E8DA632845AC0F778B53F83A44340
